Kampel       ,     ,5:45 ,     ,6:25 ,     ,7:05 ,     ,7:45 ,     ,8:25 ,     ,9:05 ,     ,9:45  ,      ,10:40 ,      ,11:40 ,      ,12:40 ,      ,13:30 ,      ,14:10 ,      ,14:50 ,      ,15:30 ,      ,16:10 ,      ,16:50 ,      ,17:30 ,      ,18:20 ,      ,19:20 ,      ,20:20 ,      ,21:20 ,      ,22:20
Kapelca      ,     ,5:46 ,     ,6:26 ,     ,7:06 ,     ,7:46 ,     ,8:26 ,     ,9:06 ,     ,9:46  ,      ,10:41 ,      ,11:41 ,      ,12:41 ,      ,13:31 ,      ,14:11 ,      ,14:51 ,      ,15:31 ,      ,16:11 ,      ,16:51 ,      ,17:31 ,      ,18:21 ,      ,19:21 ,      ,20:21 ,      ,21:21 ,      ,22:21
Partizanska  ,5:26 ,     ,6:06 ,     ,6:46 ,     ,7:26 ,     ,8:06 ,     ,8:46 ,     ,9:26 ,      ,10:11 ,      ,11:11 ,      ,12:11 ,      ,13:11 ,      ,13:49 ,      ,14:31 ,      ,15:11 ,      ,15:51 ,      ,16:31 ,      ,17:11 ,      ,17:51 ,      ,18:51 ,      ,19:51 ,      ,20:51 ,      ,21:49 ,
Šalara       ,5:27 ,5:47 ,6:07 ,6:27 ,6:47 ,7:07 ,7:27 ,7:47 ,8:07 ,8:27 ,8:47 ,9:07 ,9:27 ,9:47  ,10:12 ,10:42 ,11:12 ,11:42 ,12:12 ,12:42 ,13:12 ,13:32 ,13:50 ,14:12 ,14:32 ,14:52 ,15:12 ,15:32 ,15:52 ,16:12 ,16:32 ,16:52 ,17:12 ,17:32 ,17:52 ,18:22 ,18:52 ,19:22 ,19:52 ,20:22 ,20:52 ,21:22 ,21:50 ,22:22
Mercator     ,5:28 ,5:48 ,6:08 ,6:28 ,6:48 ,7:08 ,7:28 ,7:48 ,8:08 ,8:28 ,8:48 ,9:08 ,9:28 ,9:48  ,10:13 ,10:43 ,11:13 ,11:43 ,12:13 ,12:43 ,13:13 ,13:33 ,13:51 ,14:13 ,14:33 ,14:53 ,15:13 ,15:33 ,15:53 ,16:13 ,16:33 ,16:53 ,17:13 ,17:33 ,17:53 ,18:23 ,18:53 ,19:23 ,19:53 ,20:23 ,20:53 ,21:23 ,21:51 ,22:23
Nad Dolinsko ,5:29 ,5:49 ,6:09 ,6:29 ,6:49 ,7:09 ,7:29 ,7:49 ,8:09 ,8:29 ,8:49 ,9:09 ,9:29 ,9:49  ,10:14 ,10:44 ,11:14 ,11:44 ,12:14 ,12:44 ,13:14 ,13:34 ,13:52 ,14:14 ,14:34 ,14:54 ,15:14 ,15:34 ,15:54 ,16:14 ,16:34 ,16:54 ,17:14 ,17:34 ,17:54 ,18:24 ,18:54 ,19:24 ,19:54 ,20:24 ,20:54 ,21:24 ,21:52 ,22:24
Mercator     ,5:30 ,5:50 ,6:10 ,6:30 ,6:50 ,7:10 ,7:30 ,7:50 ,8:10 ,8:30 ,8:50 ,9:10 ,9:30 ,9:50  ,10:15 ,10:45 ,11:15 ,11:45 ,12:15 ,12:45 ,13:15 ,13:35 ,13:53 ,14:15 ,14:35 ,14:55 ,15:15 ,15:35 ,15:55 ,16:15 ,16:35 ,16:55 ,17:15 ,17:35 ,17:55 ,18:25 ,18:55 ,19:25 ,19:55 ,20:25 ,20:55 ,21:25 ,21:53 ,22:25
Olmo         ,5:32 ,5:52 ,6:12 ,6:32 ,6:52 ,7:12 ,7:32 ,7:52 ,8:12 ,8:32 ,8:52 ,9:12 ,9:32 ,9:52  ,10:17 ,10:47 ,11:17 ,11:47 ,12:17 ,12:47 ,13:17 ,13:37 ,13:55 ,14:17 ,14:37 ,14:57 ,15:17 ,15:37 ,15:57 ,16:17 ,16:37 ,16:57 ,17:17 ,17:37 ,17:57 ,18:27 ,18:57 ,19:27 ,19:57 ,20:27 ,20:57 ,21:27 ,21:55 ,22:27
Olmo K       ,5:33 ,5:53 ,6:13 ,6:33 ,6:53 ,7:13 ,7:33 ,7:53 ,8:13 ,8:33 ,8:53 ,9:13 ,9:33 ,9:53  ,10:18 ,10:48 ,11:18 ,11:48 ,12:18 ,12:48 ,13:18 ,13:38 ,13:56 ,14:18 ,14:38 ,14:58 ,15:18 ,15:38 ,15:58 ,16:18 ,16:38 ,16:58 ,17:18 ,17:38 ,17:58 ,18:28 ,18:58 ,19:28 ,19:58 ,20:28 ,20:58 ,21:28 ,21:56 ,22:28
Lesnina      ,5:36 ,5:56 ,6:16 ,6:36 ,6:56 ,7:16 ,7:36 ,7:56 ,8:16 ,8:36 ,8:56 ,9:16 ,9:36 ,9:56  ,10:21 ,10:51 ,11:21 ,11:51 ,12:21 ,12:51 ,13:21 ,13:41 ,13:59 ,14:21 ,14:41 ,15:01 ,15:21 ,15:41 ,16:01 ,16:21 ,16:41 ,17:01 ,17:21 ,17:41 ,18:01 ,18:31 ,19:01 ,19:31 ,20:01 ,20:31 ,21:01 ,21:31 ,21:59 ,22:31
Zeleni park  ,5:38 ,5:58 ,6:18 ,6:38 ,6:58 ,7:18 ,7:38 ,7:58 ,8:18 ,8:38 ,8:58 ,9:18 ,9:38 ,9:58  ,10:23 ,10:53 ,11:23 ,11:53 ,12:23 ,12:53 ,13:23 ,13:43 ,14:01 ,14:23 ,14:43 ,15:03 ,15:23 ,15:43 ,16:03 ,16:23 ,16:43 ,17:03 ,17:23 ,17:43 ,18:03 ,18:33 ,19:03 ,19:33 ,20:03 ,20:33 ,21:03 ,21:33 ,22:01 ,22:33
Banka        ,5:39 ,5:59 ,6:19 ,6:39 ,6:59 ,7:19 ,7:39 ,7:59 ,8:19 ,8:39 ,8:59 ,9:19 ,9:39 ,9:59  ,10:24 ,10:54 ,11:24 ,11:54 ,12:24 ,12:54 ,13:24 ,13:44 ,14:02 ,14:24 ,14:44 ,15:04 ,15:24 ,15:44 ,16:04 ,16:24 ,16:44 ,17:04 ,17:24 ,17:44 ,18:04 ,18:34 ,19:04 ,19:34 ,20:04 ,20:34 ,21:04 ,21:34 ,22:02 ,22:34
Luka         ,5:41 ,6:01 ,6:21 ,6:41 ,7:01 ,7:21 ,7:41 ,8:01 ,8:21 ,8:41 ,9:01 ,9:21 ,9:41 ,10:01 ,10:26 ,10:56 ,11:26 ,11:56 ,12:26 ,12:56 ,13:26 ,13:46 ,14:04 ,14:26 ,14:46 ,15:06 ,15:26 ,15:46 ,16:06 ,16:26 ,16:46 ,17:06 ,17:26 ,17:46 ,18:06 ,18:36 ,19:06 ,19:36 ,20:06 ,20:36 ,21:06 ,21:36 ,22:04 ,22:36
PH Sonce     ,5:42 ,     ,6:22 ,     ,7:02 ,     ,7:42 ,     ,8:22 ,     ,9:02 ,     ,9:42 ,      ,10:27 ,      ,11:27 ,      ,12:27 ,      ,13:27 ,      ,14:05 ,      ,14:47 ,      ,15:27 ,      ,16:07 ,      ,16:47 ,      ,17:27 ,      ,18:07 ,      ,19:07 ,      ,20:07 ,      ,21:07 ,      ,22:05 ,
