Koper         ,5:25 ,5:45 ,6:05 ,6:25 ,6:45 ,7:05 ,7:25 ,7:45 ,8:05 ,8:25 ,8:45 ,9:05 ,9:25 ,9:50  ,10:20 ,10:50 ,11:20 ,11:50 ,12:20 ,12:50 ,13:10 ,13:30 ,13:50 ,14:10 ,14:30 ,14:50 ,15:10 ,15:30 ,15:50 ,16:10 ,16:30 ,16:50 ,17:10 ,17:30 ,18:00 ,18:30 ,19:00 ,19:30 ,20:00 ,20:30 ,21:00 ,21:30 ,22:00
Supernova     ,5:27 ,5:47 ,6:07 ,6:27 ,6:47 ,7:07 ,7:27 ,7:47 ,8:07 ,8:27 ,8:47 ,9:07 ,9:27 ,9:52  ,10:22 ,10:52 ,11:22 ,11:52 ,12:22 ,12:52 ,13:12 ,13:32 ,13:52 ,14:12 ,14:32 ,14:52 ,15:12 ,15:32 ,15:52 ,16:12 ,16:32 ,16:52 ,17:12 ,17:32 ,18:02 ,18:32 ,19:02 ,19:32 ,20:02 ,20:32 ,21:02 ,21:32 ,22:02
Barka II      ,     ,5:48 ,     ,6:28 ,     ,7:08 ,     ,7:48 ,     ,8:28 ,     ,9:08 ,     ,9:53  ,      ,10:53 ,      ,11:53 ,      ,12:53 ,      ,13:33 ,      ,14:13 ,      ,14:53 ,      ,15:33 ,      ,16:13 ,      ,16:53 ,      ,17:33 ,      ,18:33 ,      ,19:33 ,      ,20:33 ,      ,21:33 ,
Sv.Ana V.n    ,5:30 ,5:51 ,6:10 ,6:31 ,6:50 ,7:11 ,7:30 ,7:51 ,8:10 ,8:31 ,8:50 ,9:11 ,9:30 ,9:56  ,10:25 ,10:56 ,11:25 ,11:56 ,12:25 ,12:56 ,13:15 ,13:36 ,13:55 ,14:16 ,14:35 ,14:56 ,15:15 ,15:36 ,15:55 ,16:16 ,16:35 ,16:56 ,17:15 ,17:36 ,18:05 ,18:36 ,19:05 ,19:36 ,20:05 ,20:36 ,21:05 ,21:36 ,22:05
Kosovelov trg ,5:31 ,5:52 ,6:11 ,6:32 ,6:51 ,7:12 ,7:31 ,7:52 ,8:11 ,8:32 ,8:51 ,9:12 ,9:31 ,9:57  ,10:26 ,10:57 ,11:26 ,11:57 ,12:26 ,12:57 ,13:16 ,13:37 ,13:56 ,14:17 ,14:36 ,14:57 ,15:16 ,15:37 ,15:56 ,16:17 ,16:36 ,16:57 ,17:16 ,17:37 ,18:06 ,18:37 ,19:06 ,19:37 ,20:06 ,20:37 ,21:06 ,21:37 ,22:06
Banka         ,5:32 ,5:53 ,6:12 ,6:33 ,6:52 ,7:13 ,7:32 ,7:53 ,8:12 ,8:33 ,8:52 ,9:13 ,9:32 ,9:58  ,10:27 ,10:58 ,11:27 ,11:58 ,12:27 ,12:58 ,13:17 ,13:38 ,13:57 ,14:18 ,14:37 ,14:58 ,15:17 ,15:38 ,15:57 ,16:18 ,16:37 ,16:58 ,17:17 ,17:38 ,18:07 ,18:38 ,19:07 ,19:38 ,20:07 ,20:38 ,21:07 ,21:38 ,22:07
Stadion       ,5:33 ,5:54 ,6:13 ,6:34 ,6:53 ,7:14 ,7:33 ,7:54 ,8:13 ,8:34 ,8:53 ,9:14 ,9:33 ,9:59  ,10:28 ,10:59 ,11:28 ,11:59 ,12:28 ,12:59 ,13:18 ,13:39 ,13:58 ,14:19 ,14:38 ,14:59 ,15:18 ,15:39 ,15:58 ,16:19 ,16:38 ,16:59 ,17:18 ,17:39 ,18:08 ,18:39 ,19:08 ,19:39 ,20:08 ,20:39 ,21:08 ,21:39 ,22:08
Olmo K        ,5:36 ,5:57 ,6:16 ,6:37 ,6:56 ,7:17 ,7:36 ,7:57 ,8:16 ,8:37 ,8:56 ,9:17 ,9:36 ,10:02 ,10:31 ,11:02 ,11:31 ,12:02 ,12:31 ,13:02 ,13:21 ,13:42 ,14:01 ,14:22 ,14:41 ,15:02 ,15:21 ,15:42 ,16:01 ,16:22 ,16:41 ,17:02 ,17:21 ,17:42 ,18:11 ,18:42 ,19:11 ,19:42 ,20:11 ,20:42 ,21:11 ,21:42 ,22:11
Olmo          ,5:37 ,5:58 ,6:17 ,6:38 ,6:57 ,7:18 ,7:37 ,7:58 ,8:17 ,8:38 ,8:57 ,9:18 ,9:37 ,10:03 ,10:32 ,11:03 ,11:32 ,12:03 ,12:32 ,13:03 ,13:22 ,13:43 ,14:02 ,14:23 ,14:42 ,15:03 ,15:22 ,15:43 ,16:02 ,16:23 ,16:42 ,17:03 ,17:22 ,17:43 ,18:12 ,18:43 ,19:12 ,19:43 ,20:12 ,20:43 ,21:12 ,21:43 ,22:12
Mercator      ,5:39 ,6:00 ,6:19 ,6:40 ,6:59 ,7:20 ,7:39 ,8:00 ,8:19 ,8:40 ,8:59 ,9:20 ,9:39 ,10:05 ,10:34 ,11:05 ,11:34 ,12:05 ,12:34 ,13:05 ,13:24 ,13:45 ,14:04 ,14:25 ,14:44 ,15:05 ,15:24 ,15:45 ,16:04 ,16:25 ,16:44 ,17:05 ,17:24 ,17:45 ,18:14 ,18:45 ,19:14 ,19:45 ,20:14 ,20:45 ,21:14 ,21:45 ,22:14
