Koper                     ,05:35 ,06:05 ,06:35 ,07:05 ,07:35 ,08:05 ,08:35 ,09:05 ,09:35 ,13:05 ,13:35 ,14:05 ,14:35 ,15:05 ,15:35 ,16:05 ,16:35 ,17:05
Supernova                 ,05:37 ,06:07 ,06:37 ,07:07 ,07:37 ,08:07 ,08:37 ,09:07 ,09:37 ,13:07 ,13:37 ,14:07 ,14:37 ,15:07 ,15:37 ,16:07 ,16:37 ,17:07
Sv.Ana V.n.               ,05:40 ,06:10 ,06:40 ,07:10 ,07:40 ,08:10 ,08:40 ,09:10 ,09:40 ,13:10 ,13:40 ,14:10 ,14:40 ,15:10 ,15:40 ,16:10 ,16:40 ,17:10
Kosovelov trg             ,05:41 ,06:11 ,06:41 ,07:11 ,07:41 ,08:11 ,08:41 ,09:11 ,09:41 ,13:11 ,13:41 ,14:11 ,14:41 ,15:11 ,15:41 ,16:11 ,16:41 ,17:11
Tržnica                   ,05:44 ,06:14 ,06:44 ,07:14 ,07:44 ,08:14 ,08:44 ,09:14 ,09:44 ,13:14 ,13:44 ,14:14 ,14:44 ,15:14 ,15:44 ,16:14 ,16:44 ,17:14
Stadion                   ,05:47 ,06:17 ,06:47 ,07:17 ,07:47 ,08:17 ,08:47 ,09:17 ,09:47 ,13:17 ,13:47 ,14:17 ,14:47 ,15:17 ,15:47 ,16:17 ,16:47 ,17:17
Tomšičeva K               ,05:50 ,06:20 ,06:50 ,07:20 ,07:50 ,08:20 ,08:50 ,09:20 ,09:50 ,13:20 ,13:50 ,14:20 ,14:50 ,15:20 ,15:50 ,16:20 ,16:50 ,17:20
Tomšičeva                 ,05:51 ,06:21 ,06:51 ,07:21 ,07:51 ,08:21 ,08:51 ,09:21 ,09:51 ,13:21 ,13:51 ,14:21 ,14:51 ,15:21 ,15:51 ,16:21 ,16:51 ,17:21
Pasarela                  ,05:52 ,06:22 ,06:52 ,07:22 ,07:52 ,08:22 ,08:52 ,09:22 ,09:52 ,13:22 ,13:52 ,14:24 ,14:54 ,15:22 ,15:52 ,16:22 ,16:52 ,17:22
Vena Pilona               ,05:54 ,06:24 ,06:54 ,07:24 ,07:54 ,08:24 ,08:54 ,09:24 ,09:54 ,13:24 ,13:54 ,14:22 ,14:52 ,15:24 ,15:54 ,16:24 ,16:54 ,17:24
Markovec Š                ,05:56 ,06:26 ,06:56 ,07:26 ,07:56 ,08:26 ,08:56 ,09:26 ,09:56 ,13:26 ,13:56 ,14:27 ,14:57 ,15:26 ,15:56 ,16:26 ,16:56 ,17:26
Markovec-Center Za gradom ,05:57 ,06:27 ,06:57 ,07:27 ,07:57 ,08:27 ,08:57 ,09:27 ,09:57 ,13:27 ,13:57 ,14:26 ,14:56 ,15:27 ,15:57 ,16:27 ,16:57 ,17:27
Beblerjeva                ,05:59 ,06:29 ,06:59 ,07:29 ,07:59 ,08:29 ,08:59 ,09:29 ,09:59 ,13:29 ,13:59 ,14:30 ,15:00 ,15:29 ,15:59 ,16:29 ,16:59 ,17:29
Kozlovičeva               ,06:00 ,06:30 ,07:00 ,07:30 ,08:00 ,08:30 ,09:00 ,09:30 ,10:00 ,13:30 ,14:00 ,14:29 ,14:59 ,15:30 ,16:00 ,16:30 ,17:00 ,17:30
Bolnica                   ,06:02 ,06:32 ,07:02 ,07:32 ,08:02 ,08:32 ,09:02 ,09:32 ,10:02 ,13:32 ,14:02 ,14:32 ,15:02 ,15:32 ,16:02 ,16:32 ,17:02 ,17:32
