Bolnica                   ,5:35 ,5:50 ,6:05 ,6:20 ,6:35 ,6:50 ,7:05 ,7:20 ,7:35 ,7:50 ,8:05 ,8:20 ,8:35 ,8:50 ,9:05 ,9:20 ,9:35 ,9:50  ,10:05 ,10:25 ,10:45 ,11:05 ,11:25 ,11:45 ,12:05 ,12:25 ,12:45 ,13:05 ,13:20 ,13:35 ,13:50 ,14:05 ,14:20 ,14:35 ,14:50 ,15:05 ,15:20 ,15:35 ,15:50 ,16:05 ,16:20 ,16:35 ,16:50 ,17:05 ,17:20 ,17:35 ,17:50 ,18:10 ,18:30 ,18:50 ,19:10 ,19:30 ,19:50 ,20:10 ,20:30 ,20:50 ,21:10 ,21:30 ,21:50 ,22:10
Kvedrova                  ,5:37 ,5:52 ,6:07 ,6:22 ,6:37 ,6:52 ,7:07 ,7:22 ,7:37 ,7:52 ,8:07 ,8:22 ,8:37 ,8:52 ,9:07 ,9:22 ,9:37 ,9:52  ,10:07 ,10:27 ,10:47 ,11:07 ,11:27 ,11:47 ,12:07 ,12:27 ,12:47 ,13:07 ,13:22 ,13:37 ,13:52 ,14:07 ,14:22 ,14:37 ,14:52 ,15:07 ,15:22 ,15:37 ,15:52 ,16:07 ,16:22 ,16:37 ,16:52 ,17:07 ,17:22 ,17:37 ,17:52 ,18:12 ,18:32 ,18:52 ,19:12 ,19:32 ,19:52 ,20:12 ,20:32 ,20:52 ,21:12 ,21:32 ,21:52 ,22:12
Markovec-Center Za gradom ,5:40 ,5:55 ,6:10 ,6:25 ,6:40 ,6:55 ,7:10 ,7:25 ,7:40 ,7:55 ,8:10 ,8:25 ,8:40 ,8:55 ,9:10 ,9:25 ,9:40 ,9:55  ,10:10 ,10:30 ,10:50 ,11:10 ,11:30 ,11:50 ,12:10 ,12:30 ,12:50 ,13:10 ,13:25 ,13:40 ,13:55 ,14:10 ,14:25 ,14:40 ,14:55 ,15:10 ,15:25 ,15:40 ,15:55 ,16:10 ,16:25 ,16:40 ,16:55 ,17:10 ,17:25 ,17:40 ,17:55 ,18:15 ,18:35 ,18:55 ,19:15 ,19:35 ,19:55 ,20:15 ,20:35 ,20:55 ,21:15 ,21:35 ,21:55 ,22:15
Beblerjeva                ,     ,5:57 ,     ,6:27 ,     ,6:57 ,     ,7:27 ,     ,7:57 ,     ,8:27 ,     ,8:57 ,     ,9:27 ,     ,9:57  ,10:12 ,10:32 ,10:52 ,11:12 ,11:32 ,11:52 ,12:12 ,12:32 ,12:52 ,      ,13:27 ,      ,13:57 ,      ,14:27 ,      ,14:57 ,      ,15:27 ,      ,15:57 ,      ,16:27 ,      ,16:57 ,      ,17:27 ,17:42 ,17:57 ,18:17 ,18:37 ,18:57 ,19:17 ,19:37 ,19:57 ,20:17 ,20:37 ,20:57 ,21:17 ,21:37 ,21:57 ,22:17
Kozlovičeva               ,     ,5:58 ,     ,6:28 ,     ,6:58 ,     ,7:28 ,     ,7:58 ,     ,8:28 ,     ,8:58 ,     ,9:28 ,     ,9:58  ,10:13 ,10:33 ,10:53 ,11:13 ,11:33 ,11:53 ,12:13 ,12:33 ,12:53 ,      ,13:28 ,      ,13:58 ,      ,14:28 ,      ,14:58 ,      ,15:28 ,      ,15:58 ,      ,16:28 ,      ,16:58 ,      ,17:28 ,17:43 ,17:58 ,18:18 ,18:38 ,18:58 ,19:18 ,19:38 ,19:58 ,20:18 ,20:38 ,20:58 ,21:18 ,21:38 ,21:58 ,22:18
Kvedrova                  ,     ,5:59 ,     ,6:29 ,     ,6:59 ,     ,7:29 ,     ,7:59 ,     ,8:29 ,     ,8:59 ,     ,9:29 ,     ,9:59  ,10:14 ,10:34 ,10:54 ,11:14 ,11:34 ,11:54 ,12:14 ,12:34 ,12:54 ,      ,13:29 ,      ,13:59 ,      ,14:29 ,      ,14:59 ,      ,15:29 ,      ,15:59 ,      ,16:29 ,      ,16:59 ,      ,17:29 ,17:44 ,17:59 ,18:19 ,18:39 ,18:59 ,19:19 ,19:39 ,19:59 ,20:19 ,20:39 ,20:59 ,21:19 ,21:39 ,21:59 ,22:19
Markovec                  ,     ,6:01 ,     ,6:31 ,     ,7:01 ,     ,7:31 ,     ,8:01 ,     ,8:31 ,     ,9:01 ,     ,9:31 ,     ,10:01 ,10:16 ,10:36 ,10:56 ,11:16 ,11:36 ,11:56 ,12:16 ,12:36 ,12:56 ,      ,13:31 ,      ,14:01 ,      ,14:31 ,      ,15:01 ,      ,15:31 ,      ,16:01 ,      ,16:31 ,      ,17:01 ,      ,17:31 ,17:46 ,18:01 ,18:21 ,18:41 ,19:01 ,19:21 ,19:41 ,20:01 ,20:21 ,20:41 ,21:01 ,21:21 ,21:41 ,22:01 ,22:21
Klaričeva                 ,     ,6:02 ,     ,6:32 ,     ,7:02 ,     ,7:32 ,     ,8:02 ,     ,8:32 ,     ,9:02 ,     ,9:32 ,     ,10:02 ,10:17 ,10:37 ,10:57 ,11:17 ,11:37 ,11:57 ,12:17 ,12:37 ,12:57 ,      ,13:32 ,      ,14:02 ,      ,14:32 ,      ,15:02 ,      ,15:32 ,      ,16:02 ,      ,16:32 ,      ,17:02 ,      ,17:32 ,17:47 ,18:02 ,18:22 ,18:42 ,19:02 ,19:22 ,19:42 ,20:02 ,20:22 ,20:42 ,21:02 ,21:22 ,21:42 ,22:02 ,22:22
Semedelski razgledi       ,     ,6:03 ,     ,6:33 ,     ,7:03 ,     ,7:33 ,     ,8:03 ,     ,8:33 ,     ,9:03 ,     ,9:33 ,     ,10:03 ,10:18 ,10:38 ,10:58 ,11:18 ,11:38 ,11:58 ,12:18 ,12:38 ,12:58 ,      ,13:33 ,      ,14:03 ,      ,14:33 ,      ,15:03 ,      ,15:33 ,      ,16:03 ,      ,16:33 ,      ,17:03 ,      ,17:33 ,17:48 ,18:03 ,18:23 ,18:43 ,19:03 ,19:23 ,19:43 ,20:03 ,20:23 ,20:43 ,21:03 ,21:23 ,21:43 ,22:03 ,22:23
Prisoje                   ,     ,6:04 ,     ,6:34 ,     ,7:04 ,     ,7:34 ,     ,8:04 ,     ,8:34 ,     ,9:04 ,     ,9:34 ,     ,10:04 ,10:19 ,10:39 ,10:59 ,11:19 ,11:39 ,11:59 ,12:19 ,12:39 ,12:59 ,      ,13:34 ,      ,14:04 ,      ,14:34 ,      ,15:04 ,      ,15:34 ,      ,16:04 ,      ,16:34 ,      ,17:04 ,      ,17:34 ,17:49 ,18:04 ,18:24 ,18:44 ,19:04 ,19:24 ,19:44 ,20:04 ,20:24 ,20:44 ,21:04 ,21:24 ,21:44 ,22:04 ,22:24
