Bolnišnica                ,06:20      ,07:00      ,07:40      ,08:20      ,09:00      ,09:40      ,10:20      ,11:00      ,11:40      ,12:20      ,13:00      ,13:40      ,14:20      ,15:00      ,15:40      ,16:20      ,17:00      ,17:40      ,18:20      ,19:00      ,19:40      ,20:20
Kvedrova
Markovec-Center Za gradom ,06:2206:25 ,07:0207:05 ,07:4207:45 ,08:2208:25 ,09:0209:05 ,09:4209:45 ,10:2210:25 ,11:0211:05 ,11:4211:45 ,12:2212:25 ,13:0213:05 ,13:4213:45 ,14:2214:25 ,15:0215:05 ,15:4215:45 ,16:22      ,17:02      ,17:42      ,18:22      ,19:02      ,19:42      ,20:22
Markovec Š                ,06:26      ,07:06      ,07:46      ,08:26      ,09:06      ,09:46      ,10:26      ,11:06      ,11:46      ,12:26      ,13:06      ,13:46      ,14:26      ,15:06      ,15:46      ,16:25      ,17:05      ,17:45      ,18:25      ,19:05      ,19:45      ,20:25
Nova K
Mandrač                   ,06:2806:29 ,07:0807:09 ,07:4807:49 ,08:2808:29 ,09:0809:09 ,09:4809:49 ,10:2810:29 ,11:0811:09 ,11:4811:49 ,12:2812:29 ,13:0813:09 ,13:4813:49 ,14:2814:29 ,15:0815:09 ,15:4815:49 ,16:26      ,17:06      ,17:46      ,18:26      ,19:06      ,19:46      ,20:26
Rozmanova I               ,06:31      ,07:11      ,07:51      ,08:31      ,09:11      ,09:51      ,10:31      ,11:11      ,11:51      ,12:31      ,13:11      ,13:51      ,14:31      ,15:11      ,15:51      ,16:2816:29 ,17:0817:09 ,17:4817:49 ,18:2818:29 ,19:0819:09 ,19:4819:49 ,20:2820:29
Prisoje
Prisoje pod gar.          ,06:3206:33 ,07:1207:13 ,07:5207:53 ,08:3208:33 ,09:1209:13 ,09:5209:53 ,10:3210:33 ,11:1211:13 ,11:5211:53 ,12:3212:33 ,13:1213:13 ,13:5213:53 ,14:3214:33 ,15:1215:13 ,15:5215:53 ,16:31      ,17:11      ,17:51      ,18:31      ,19:11      ,19:51      ,20:31
Oljčna pot Lantana        ,06:34      ,07:14      ,07:54      ,08:34      ,09:14      ,09:54      ,10:34      ,11:14      ,11:54      ,12:34      ,13:14      ,13:54      ,14:34      ,15:14      ,15:54      ,16:3216:33 ,17:1217:13 ,17:5217:53 ,18:3218:33 ,19:1219:13 ,19:5219:53 ,20:3220:33
Dolinska                  ,06:35      ,07:15      ,07:55      ,08:35      ,09:15      ,09:55      ,10:35      ,11:15      ,11:55      ,12:35      ,13:15      ,13:55      ,14:35      ,15:15      ,15:55      ,16:34      ,17:14      ,17:54      ,18:34      ,19:14      ,19:54      ,20:34
Nad Dolinsko              ,06:37      ,07:17      ,07:57      ,08:37      ,09:17      ,09:57      ,10:37      ,11:17      ,11:57      ,12:37      ,13:17      ,13:57      ,14:37      ,15:17      ,15:57      ,16:35      ,17:15      ,17:55      ,18:35      ,19:15      ,19:55      ,20:35
                          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,16:37      ,17:17      ,17:57      ,18:37      ,19:17      ,19:57      ,20:37
